track_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,key,mode
62,0.625,0.938,-3.983,0.0517,0.00432,0.00026,0.0923,0.371,127.997,166875,6,1
30,0.679,0.909,-2.929,0.105,0.0334,0.0,0.269,0.819,119.885,155080,1,1
56,0.641,0.869,-4.754,0.0423,0.0319,0.00131,0.403,0.358,128.091,178125,11,1
56,0.702,0.814,-7.51,0.0841,0.107,3.03e-05,0.374,0.503,121.993,172000,0,0
58,0.723,0.837,-6.487,0.0389,0.0103,0.000477,0.0834,0.643,123.952,177097,11,1
60,0.742,0.864,-5.06,0.0976,0.00141,0.00467,0.241,0.727,125.032,169935,0,1
60,0.716,0.815,-4.121,0.0533,0.108,0.0,0.163,0.351,124.975,220413,10,1
55,0.748,0.831,-5.029,0.115,0.0823,7.36e-05,0.0757,0.894,128.024,185273,1,1
59,0.816,0.833,-5.972,0.0511,0.126,9.09e-06,0.0625,0.793,122.032,170164,5,1
63,0.633,0.854,-4.046,0.0432,0.0382,2.83e-05,0.434,0.659,126.026,172360,0,0
67,0.563,0.81,-2.921,0.0522,0.00522,0.0,0.0846,0.495,129.975,247385,2,1
55,0.728,0.815,-2.878,0.046,0.00223,0.000317,0.101,0.681,124.019,218015,11,0
56,0.846,0.773,-3.503,0.0473,0.0141,2.23e-05,0.204,0.586,124.008,200444,5,1
87,0.693,0.678,-7.159,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267,8,1
62,0.678,0.928,-3.66,0.0597,0.0303,3.33e-05,0.143,0.663,116.892,150160,3,0
83,0.67,0.453,-11.265,0.295,0.252,0.33,0.117,0.68,135.055,194840,0,1
55,0.755,0.931,-4.104,0.0606,0.132,0.0271,0.0854,0.288,122.041,177466,1,0
61,0.622,0.859,-7.626,0.0636,0.000609,0.746,0.0909,0.442,121.968,218373,5,1
56,0.789,0.893,-4.364,0.168,0.0538,0.0,0.221,0.41,121.956,144073,10,0
57,0.64,0.838,-4.203,0.0416,0.0588,1.99e-05,0.0424,0.587,124.081,193861,6,1
56,0.609,0.764,-4.564,0.111,0.0994,0.0,0.197,0.531,128.082,200625,5,0
53,0.64,0.992,-3.318,0.0585,0.0832,0.0083,0.109,0.479,123.951,166237,4,0
56,0.75,0.81,-4.607,0.0572,0.0917,1.59e-05,0.111,0.48,120.038,171500,0,0
34,0.535,0.956,-2.996,0.0343,0.000609,0.0109,0.262,0.12,127.984,266719,1,0
74,0.766,0.771,-9.108,0.0576,0.00407,3.76e-06,0.113,0.297,140.036,204027,6,1
46,0.649,0.821,-4.952,0.0472,0.017,0.000347,0.0655,0.394,125.977,203968,10,0
63,0.588,0.697,-4.744,0.0372,0.186,0.000219,0.103,0.225,125.157,190417,3,0
55,0.355,0.789,-4.358,0.165,0.0148,0.0,0.0355,0.169,80.444,237686,5,0
52,0.542,0.84,-5.283,0.0419,0.0336,8.45e-05,0.277,0.509,118.02,180361,0,0
67,0.735,0.5,-11.297,0.0511,0.415,3.12e-05,0.13,0.119,126.1,139048,8,1
63,0.752,0.84,-4.451,0.0373,0.00486,0.0109,0.0916,0.461,124.002,279800,6,0
60,0.748,0.903,-5.877,0.0385,0.0324,0.0,0.106,0.751,115.018,217043,3,0
45,0.607,0.955,-3.613,0.102,0.0163,0.121,0.0725,0.501,125.984,230476,7,0
58,0.607,0.995,-2.325,0.0487,0.0921,0.002,0.0445,0.664,124.998,188640,9,0
51,0.679,0.786,-6.918,0.132,0.119,5.89e-06,0.224,0.47,126.092,196613,1,0
58,0.714,0.801,-5.8,0.0301,0.0204,0.00615,0.334,0.292,124.015,210000,5,0
56,0.69,0.862,-4.154,0.0944,0.0611,1.85e-05,0.238,0.453,121.975,187869,2,1
60,0.775,0.867,-7.388,0.204,0.0158,0.0117,0.0355,0.565,128.956,273229,4,0
48,0.814,0.838,-5.547,0.0763,0.001,0.0223,0.0185,0.959,121.978,255861,11,1
56,0.784,0.779,-5.48,0.0387,0.0357,0.025,0.0245,0.459,124.994,216714,8,1
56,0.367,0.783,-4.504,0.154,0.00515,0.0,0.0545,0.289,88.013,192653,6,1
65,0.609,0.83,-3.759,0.0793,0.201,6.18e-05,0.0321,0.604,117.833,238451,6,0
39,0.591,0.702,-5.59,0.0289,0.225,0.0,0.414,0.501,104.003,217653,7,1
83,0.59,0.642,-3.87,0.122,0.0771,0.0,0.105,0.651,107.356,174444,7,1
83,0.791,0.565,-3.933,0.0439,0.0623,0.0,0.156,0.181,99.961,156347,5,0
71,0.564,0.747,-3.374,0.0584,0.0728,0.0,0.151,0.717,97.878,165767,5,1
81,0.669,0.801,-5.445,0.136,0.268,0.0,0.0594,0.541,109.919,201072,8,1
85,0.77,0.882,-4.792,0.0602,0.194,0.0,0.316,0.385,99.991,223523,8,1
76,0.513,0.788,-4.629,0.0364,0.00968,0.0,0.11,0.234,139.987,238459,0,1
71,0.72,0.864,-3.249,0.208,0.0856,0.0,0.16,0.659,96.048,191612,0,1
65,0.789,0.858,-4.388,0.0404,0.22,4.58e-05,0.335,0.491,110.012,173455,5,1
67,0.294,0.505,-8.106,0.042,0.12,0.0,0.0977,0.357,85.332,209893,3,1
74,0.665,0.799,-2.868,0.0617,0.18,0.0,0.125,0.5,101.976,228112,6,0
81,0.46,0.8,-3.584,0.05,0.289,6.16e-06,0.121,0.553,102.46,220396,1,1
71,0.362,0.921,-3.815,0.486,0.123,0.0,0.19,0.529,172.191,180840,1,0
75,0.686,0.83,-4.437,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,214634,8,1
73,0.618,0.66,-8.14,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,210944,11,0
79,0.665,0.699,-5.265,0.0578,0.423,0.0,0.0969,0.585,124.896,190932,11,1
74,0.661,0.725,-4.859,0.0563,0.0253,0.0,0.123,0.605,119.927,197939,6,1
63,0.571,0.752,-4.872,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,192941,3,1
79,0.591,0.705,-6.519,0.079,0.381,0.000116,0.131,0.27,121.799,215316,9,0
16,0.652,0.898,-4.481,0.0361,0.29,0.0,0.073,0.472,114.043,193377,7,0
75,0.706,0.855,-5.377,0.215,0.0911,0.0,0.347,0.293,107.184,201253,10,1
75,0.404,0.806,-4.75,0.0496,0.198,0.0,0.114,0.112,148.036,220730,2,1
55,0.876,0.856,-3.884,0.0486,0.0812,1.29e-06,0.457,0.685,121.991,185062,4,1
30,0.802,0.645,-6.181,0.0715,0.272,0.0,0.119,0.376,100.001,157202,5,0
62,0.906,0.832,-3.004,0.0718,0.0909,0.0,0.152,0.751,104.03,159753,5,0
84,0.753,0.657,-3.061,0.0449,0.171,0.0,0.112,0.437,107.01,184732,7,1
70,0.693,0.674,-4.449,0.0723,0.185,0.0,0.0639,0.378,95.972,160998,5,1
37,0.672,0.815,-6.476,0.0981,0.00246,0.0,0.577,0.341,115.033,226093,1,0
70,0.581,0.76,-3.962,0.0406,0.16,0.0,0.183,0.523,104.099,205787,0,1
74,0.643,0.594,-5.453,0.0318,0.0128,0.0,0.118,0.442,144.033,216668,2,1
85,0.674,0.881,-2.853,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480,9,1
36,0.691,0.538,-9.952,0.103,0.246,0.163,0.178,0.329,99.972,182668,0,1
52,0.661,0.758,-5.299,0.0864,0.0797,0.0,0.106,0.387,114.098,224061,7,1
58,0.653,0.69,-5.003,0.0756,0.109,0.0,0.136,0.652,110.214,178501,1,1
72,0.734,0.693,-6.474,0.0361,0.0878,0.0,0.341,0.55,110.021,154024,0,1
64,0.663,0.696,-5.994,0.0349,0.0563,6.25e-06,0.226,0.449,139.98,197880,11,1
63,0.55,0.899,-3.284,0.0458,0.0113,9.65e-05,0.137,0.408,125.85,170079,5,0
77,0.703,0.868,-4.661,0.0291,0.15,0.132,0.104,0.733,121.03,193613,7,0
76,0.44,0.635,-6.385,0.0326,0.129,0.0,0.121,0.327,128.133,207095,11,1
74,0.625,0.707,-4.761,0.0337,0.22,0.0,0.213,0.479,138.064,248156,2,1
56,0.625,0.719,-5.541,0.0612,0.048,0.0,0.0668,0.326,101.091,202072,4,1
77,0.547,0.795,-3.721,0.0489,0.145,0.0,0.11,0.723,118.118,186805,8,1
71,0.673,0.596,-7.891,0.0354,0.166,0.0,0.11,0.19,123.969,208567,10,1
64,0.699,0.633,-6.547,0.0362,0.0453,0.0,0.101,0.458,123.449,184533,6,1
82,0.647,0.726,-4.389,0.0552,0.157,0.0,0.0844,0.767,114.996,198996,3,0
81,0.588,0.67,-6.439,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173,0,1
41,0.655,0.427,-11.684,0.0799,0.295,0.00108,0.0788,0.224,107.992,215446,2,0
62,0.79,0.865,-4.159,0.0438,0.0264,0.0892,0.24,0.362,122.99,189165,6,1
5,0.611,0.737,-5.154,0.0476,0.0145,0.0,0.107,0.574,124.169,200318,0,0
72,0.726,0.763,-6.872,0.0882,0.524,2.64e-06,0.0943,0.516,128.02,160312,4,1
24,0.714,0.705,-6.479,0.0995,0.292,0.000386,0.126,0.471,114.994,219521,10,1
58,0.619,0.938,-5.245,0.35,0.0257,1.39e-05,0.128,0.601,94.38,207428,5,1
65,0.575,0.808,-4.578,0.0439,0.0446,0.0,0.0693,0.232,127.922,179531,1,1
64,0.768,0.808,-1.818,0.112,0.00627,5.33e-06,0.343,0.664,119.971,166000,5,1
53,0.767,0.605,-5.737,0.188,0.559,0.000363,0.193,0.657,107.042,203200,6,0
72,0.466,0.612,-4.855,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,239067,8,0
39,0.434,0.917,-3.613,0.0633,0.301,1.8e-05,0.289,0.622,121.967,147554,9,0
75,0.744,0.79,-4.617,0.0562,0.0547,0.000802,0.32,0.847,125.002,188640,8,0
60,0.837,0.818,-4.474,0.0533,0.0527,0.00642,0.11,0.484,109.993,157159,8,0
18,0.514,0.856,-4.285,0.0717,0.00123,6.34e-06,0.544,0.351,117.014,228502,2,1
79,0.69,0.622,-5.025,0.0622,0.253,0.0,0.116,0.544,102.04,210091,5,0
60,0.466,0.869,-4.275,0.0529,0.0142,0.00241,0.115,0.185,126.113,187150,3,1
83,0.842,0.801,-4.167,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500,8,0
85,0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,244960,8,1
47,0.647,0.624,-8.446,0.0451,0.025,0.056,0.0616,0.477,115.002,243091,9,1
74,0.509,0.781,-3.48,0.072,0.0398,0.0,0.0749,0.176,128.0,271427,8,1
80,0.737,0.636,-4.546,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,222653,11,0
81,0.584,0.54,-7.786,0.0576,0.0895,0.0,0.261,0.195,137.972,220883,1,0
76,0.743,0.733,-5.337,0.0375,0.00402,0.0,0.304,0.622,104.977,189467,8,1
96,0.721,0.716,-7.037,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,10,0
84,0.781,0.768,-5.991,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309,11,1
86,0.737,0.828,-4.711,0.0396,0.0149,0.000583,0.0862,0.517,124.052,208474,11,1
68,0.57,0.763,-4.137,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,239853,1,1
66,0.551,0.651,-5.828,0.0594,0.225,0.0,0.224,0.562,144.875,194907,8,0
83,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160,11,0
85,0.791,0.862,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,9,0
73,0.503,0.748,-4.124,0.0619,0.0305,0.0,0.343,0.356,125.896,210013,5,1
69,0.64,0.533,-6.596,0.0706,0.119,0.0,0.0864,0.515,99.968,220781,0,1
69,0.658,0.677,-6.628,0.0393,0.248,0.0,0.368,0.248,124.91,251627,5,1
81,0.649,0.716,-5.371,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,205947,8,1
73,0.713,0.802,-7.055,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739,4,1
61,0.596,0.738,-3.109,0.0411,0.109,0.0,0.0947,0.461,127.961,217347,8,1
19,0.503,0.727,-5.456,0.167,0.0159,9.45e-05,0.0895,0.521,121.985,255632,1,1
57,0.609,0.726,-4.346,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,195000,5,0
81,0.654,0.76,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945,200787,0,0
79,0.63,0.928,-2.787,0.0331,0.199,0.124,0.148,0.465,123.963,222160,9,0
84,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,2,1
84,0.694,0.77,-5.335,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,6,1
66,0.604,0.787,-3.674,0.103,0.0679,0.15,0.127,0.301,126.062,245040,0,0
8,0.432,0.74,-5.053,0.062,0.0342,6.59e-06,0.14,0.193,139.42,242520,7,1
64,0.638,0.832,-5.039,0.049,0.141,0.0,0.113,0.648,124.071,227893,8,1
61,0.759,0.716,-6.36,0.0818,0.0223,0.0,0.231,0.469,105.009,209733,11,0
27,0.614,0.832,-3.419,0.0522,0.11,0.0,0.185,0.429,129.038,213169,11,0
74,0.669,0.832,-5.72,0.0682,0.0106,0.0,0.0968,0.7,113.035,237547,0,1
57,0.702,0.781,-4.081,0.03,0.433,0.0,0.135,0.382,102.997,286322,0,1
69,0.851,0.806,-4.618,0.0786,0.12,1.33e-06,0.121,0.776,119.001,237200,4,1
77,0.738,0.868,-4.373,0.0731,0.0389,0.00171,0.388,0.336,122.003,212640,11,0
74,0.57,0.672,-5.89,0.0723,0.177,0.0,0.0768,0.448,120.019,208222,8,0
5,0.67,0.89,-3.785,0.0576,0.122,0.0,0.333,0.568,124.967,206440,5,0
57,0.708,0.727,-7.647,0.0389,0.0201,0.676,0.37,0.512,120.012,231480,9,1
68,0.654,0.787,-4.999,0.0502,0.00515,0.0,0.144,0.409,123.978,164490,4,1
65,0.945,0.584,-7.649,0.044,0.0955,0.341,0.147,0.626,124.996,168547,6,0
58,0.704,0.929,-4.447,0.0395,0.0395,0.0249,0.181,0.633,126.055,155238,0,1
81,0.765,0.906,-2.097,0.0965,0.125,0.0,0.423,0.95,96.071,184558,8,0
68,0.682,0.855,-3.282,0.0401,0.0566,1e-06,0.101,0.304,124.004,198743,7,1
43,0.627,0.662,-7.104,0.0349,0.0922,0.000166,0.143,0.596,124.039,159194,7,0
57,0.762,0.736,-7.66,0.0778,0.135,0.0538,0.113,0.248,126.007,165714,7,1
58,0.577,0.844,-3.364,0.0406,0.00407,6.13e-06,0.499,0.283,115.066,183653,7,1
58,0.632,0.816,-4.584,0.0349,0.00205,0.106,0.119,0.134,127.95,202500,8,1
91,0.598,0.526,-8.659,0.0415,0.129,0.0,0.14,0.529,123.935,168387,10,0
67,0.825,0.841,-6.433,0.135,0.0906,0.00411,0.258,0.616,126.026,184582,0,1
42,0.63,0.731,-4.985,0.0352,0.0191,7.82e-06,0.704,0.46,119.997,240000,6,1
70,0.795,0.899,-4.202,0.0685,0.00235,0.000392,0.199,0.329,125.978,198839,0,1
64,0.529,0.717,-7.049,0.24,0.123,0.000707,0.0363,0.481,103.99,257943,6,0
79,0.7,0.872,-5.896,0.0666,0.121,7.08e-06,0.103,0.761,125.03,190302,10,1
48,0.791,0.541,-7.14,0.054,0.123,4.74e-05,0.121,0.433,115.987,154654,1,1
53,0.904,0.633,-5.545,0.0958,0.203,0.000266,0.163,0.492,121.995,179016,0,1
75,0.744,0.725,-6.055,0.0303,0.018,9.29e-06,0.212,0.904,118.034,167859,11,1
46,0.772,0.687,-6.348,0.211,0.0528,0.0,0.834,0.59,118.116,154286,9,0
67,0.706,0.524,-8.804,0.026,0.127,0.00129,0.109,0.296,111.991,183183,6,1
65,0.664,0.699,-7.115,0.27,0.0352,0.0,0.0612,0.252,122.019,216256,11,0
56,0.781,0.745,-4.942,0.0374,0.0814,9.71e-05,0.106,0.498,110.051,158091,1,0
42,0.789,0.547,-8.738,0.0748,0.072,9.21e-05,0.0782,0.48,120.024,203227,9,0
58,0.575,0.808,-4.578,0.0439,0.0446,0.0,0.0693,0.232,127.922,179531,1,1
74,0.669,0.797,-5.68,0.0624,0.259,0.0,0.199,0.552,119.865,185943,9,0
65,0.567,0.946,-2.245,0.0541,0.0978,1.37e-06,0.0836,0.295,104.983,208367,5,0
64,0.653,0.757,-3.642,0.0555,0.0997,0.0,0.242,0.233,128.015,204591,3,1
51,0.721,0.779,-4.239,0.0606,0.142,0.0,0.143,0.327,110.026,169964,6,0
63,0.534,0.765,-3.151,0.0338,0.0915,0.00107,0.225,0.117,127.978,172520,1,1
83,0.651,0.693,-4.722,0.0375,0.458,0.0,0.335,0.392,118.97,236765,4,1
55,0.682,0.923,-3.273,0.0364,0.00395,3e-05,0.242,0.37,130.052,153231,0,1
39,0.66,0.827,-5.081,0.0789,0.429,0.0,0.0923,0.611,115.349,167249,10,1
48,0.57,0.965,-4.881,0.0348,0.00108,0.523,0.201,0.148,123.008,291785,6,0
59,0.608,0.918,-1.137,0.0684,0.199,0.0,0.309,0.422,126.022,182000,0,0
64,0.561,0.562,-11.431,0.15,0.062,0.0,0.118,0.244,151.631,242385,9,0
42,0.591,0.88,-5.153,0.223,0.0804,0.0,0.326,0.482,127.013,177638,4,0
70,0.626,0.8,-3.988,0.035,0.0267,0.000138,0.0623,0.258,127.966,160184,1,0
57,0.745,0.8,-5.606,0.0361,0.0209,0.000479,0.113,0.314,122.008,204693,11,0
21,0.66,0.857,-5.219,0.321,0.167,1.36e-05,0.119,0.233,130.069,225160,2,1
68,0.53,0.729,-6.019,0.0376,0.00699,0.0,0.103,0.219,139.929,238338,0,1
63,0.552,0.887,-3.812,0.147,0.0457,0.0207,0.0903,0.783,125.229,131204,1,1
54,0.471,0.911,-4.372,0.0594,0.0316,0.00648,0.571,0.197,126.112,170000,2,0
79,0.747,0.776,-5.898,0.0722,0.0233,1.38e-05,0.761,0.67,125.07,147027,10,0
72,0.712,0.664,-8.026,0.0345,0.0416,0.000104,0.0668,0.781,122.014,204514,11,1
80,0.733,0.859,-5.03,0.033,0.479,0.0645,0.105,0.52,124.948,147840,9,0
47,0.517,0.793,-5.851,0.0367,0.0214,0.00046,0.0892,0.176,90.06,157333,6,0
19,0.675,0.674,-6.329,0.0372,0.00339,8.55e-05,0.279,0.414,125.037,200640,4,1
79,0.818,0.823,-3.563,0.2,0.0663,1.17e-05,0.133,0.52,128.136,160794,11,0
59,0.639,0.591,-3.905,0.0344,0.128,6.69e-06,0.159,0.305,128.002,225000,7,0
68,0.535,0.906,-4.699,0.0353,0.0202,0.000715,0.0886,0.732,126.012,178671,6,0
72,0.784,0.721,-5.457,0.0506,0.0149,0.00424,0.285,0.895,121.966,176219,8,1
66,0.809,0.758,-5.658,0.101,0.409,0.000544,0.166,0.71,125.022,142230,4,0
59,0.669,0.793,-6.16,0.0403,0.0318,0.0372,0.555,0.159,121.995,220205,1,1
64,0.578,0.786,-4.665,0.13,0.232,0.000106,0.122,0.347,105.945,179151,9,1
9,0.733,0.839,-2.84,0.0335,0.0145,0.000187,0.162,0.471,126.009,223533,1,0
41,0.63,0.726,-3.753,0.0978,0.0717,0.0,0.108,0.499,122.055,196475,0,1
69,0.845,0.766,-5.727,0.0658,0.212,0.0,0.111,0.782,114.054,195924,2,0
66,0.679,0.866,-3.754,0.0566,0.0337,0.0,0.0688,0.441,121.927,183934,2,1
68,0.657,0.882,-3.565,0.0456,0.247,0.00202,0.112,0.179,127.994,195000,0,0
66,0.493,0.773,-3.791,0.157,0.429,7.07e-06,0.0807,0.301,123.149,193548,5,0
63,0.687,0.706,-5.357,0.0459,0.091,0.0,0.124,0.27,115.268,127826,4,1
68,0.654,0.874,-3.885,0.0543,0.169,1.77e-06,0.134,0.542,119.85,184027,6,1
23,0.661,0.758,-5.299,0.0864,0.0797,0.0,0.106,0.387,114.098,224061,7,1
67,0.447,0.684,-4.721,0.09,0.175,0.0,0.478,0.437,125.655,175312,9,0
62,0.731,0.802,-4.763,0.0623,0.022,0.0,0.059,0.434,121.991,179016,5,1
9,0.489,0.766,-5.84,0.0851,0.0511,1.35e-05,0.126,0.117,121.445,190645,3,1
59,0.6,0.888,-4.612,0.13,0.00166,0.0,0.4,0.641,126.056,157024,8,1
71,0.687,0.707,-6.19,0.0328,0.0536,9.29e-05,0.16,0.607,127.033,188656,4,1
21,0.711,0.724,-4.809,0.106,0.0835,0.0,0.0389,0.478,104.048,208947,7,1
81,0.693,0.575,-6.998,0.0801,0.374,0.0,0.252,0.492,117.999,211362,9,1
69,0.683,0.785,-4.879,0.037,0.0643,1.34e-05,0.177,0.581,122.997,184564,7,1
56,0.638,0.818,-4.517,0.05,0.131,1.78e-05,0.107,0.489,126.015,167990,9,0
56,0.707,0.806,-4.777,0.175,0.00908,0.0,0.366,0.634,119.972,163000,6,1
60,0.59,0.888,-2.851,0.0765,0.0216,0.0,0.487,0.288,126.094,185714,5,1
40,0.632,0.574,-8.584,0.053,0.0942,0.0,0.215,0.557,125.989,201905,4,1
57,0.703,0.879,-4.514,0.177,0.0693,0.0,0.315,0.542,124.972,183360,1,0
70,0.79,0.746,-5.96,0.0502,0.241,0.0,0.316,0.538,124.971,212280,9,1
63,0.733,0.718,-7.149,0.0376,0.0107,0.0102,0.33,0.206,122.993,176098,4,0
65,0.728,0.848,-6.248,0.185,0.0427,4.49e-06,0.118,0.612,124.993,193137,5,1
56,0.502,0.78,-4.547,0.244,0.333,0.0,0.72,0.607,122.688,183341,0,1
2,0.638,0.708,-5.001,0.0421,0.24,0.0,0.311,0.582,103.16,132233,1,0
53,0.685,0.712,-4.302,0.0894,0.334,1.1e-06,0.047,0.483,114.989,196493,6,0
11,0.62,0.906,-3.638,0.0627,0.102,0.0206,0.183,0.398,123.047,221773,11,0
77,0.601,0.775,-4.612,0.0473,0.269,0.0,0.0883,0.483,119.964,190295,0,1
56,0.762,0.665,-6.92,0.0471,0.169,0.0,0.103,0.961,115.946,193640,11,0
65,0.684,0.95,-2.588,0.0809,0.0207,1.25e-06,0.105,0.436,125.974,156168,1,0
34,0.65,0.819,-3.811,0.0551,0.117,0.0,0.0772,0.351,128.09,186094,4,1
54,0.448,0.836,-6.495,0.0809,0.229,0.0,0.427,0.482,122.899,170103,11,1
51,0.712,0.646,-4.23,0.182,0.116,0.0,0.123,0.607,104.998,196571,5,1
50,0.674,0.854,-5.253,0.115,0.054,0.0,0.379,0.503,111.969,180571,5,1
52,0.739,0.622,-5.382,0.0394,0.532,0.0,0.0508,0.615,119.992,217804,11,0
76,0.647,0.795,-3.548,0.0372,0.0635,0.0,0.188,0.409,127.992,192402,1,0
75,0.669,0.895,-3.787,0.0575,0.128,0.0,0.297,0.576,124.964,205653,5,0
52,0.792,0.724,-5.108,0.0362,0.219,0.0,0.0911,0.429,109.984,169000,11,0
62,0.706,0.931,-3.053,0.0456,0.354,3.72e-06,0.146,0.465,123.012,200893,0,0
65,0.645,0.795,-5.439,0.0343,0.0334,1.05e-05,0.089,0.424,127.959,226875,1,1
62,0.662,0.823,-4.7,0.0971,0.073,0.0,0.0833,0.435,118.958,191786,9,1
10,0.673,0.885,-3.574,0.0569,0.143,0.0,0.184,0.704,121.082,174545,11,0
55,0.516,0.857,-3.432,0.0463,0.0368,0.0,0.264,0.448,127.949,198750,0,0
49,0.686,0.613,-5.614,0.069,0.0386,0.0,0.251,0.452,104.988,206875,2,1
70,0.503,0.754,-3.634,0.0424,0.264,5.85e-05,0.297,0.597,116.524,186750,7,1
61,0.382,0.698,-3.409,0.0374,0.00236,5.24e-05,0.108,0.151,127.816,234609,6,1
75,0.59,0.642,-3.87,0.122,0.0771,0.0,0.105,0.651,107.356,174444,7,1
60,0.708,0.825,-3.117,0.0615,0.031,0.0,0.191,0.662,109.991,186000,4,1
63,0.588,0.757,-2.415,0.0716,0.327,0.0,0.323,0.836,122.813,191650,5,1
73,0.636,0.63,-6.396,0.0346,0.0796,0.0,0.13,0.454,104.845,184020,0,1
60,0.682,0.786,-4.87,0.0477,0.214,0.0,0.12,0.664,91.042,195947,11,0
62,0.639,0.705,-5.039,0.049,0.045,0.0,0.425,0.595,124.957,182161,7,0
67,0.815,0.647,-7.162,0.218,0.399,0.0,0.0738,0.182,125.95,176773,9,0
61,0.696,0.907,-4.157,0.073,0.0191,1.23e-05,0.124,0.466,125.932,186667,0,0
71,0.659,0.617,-5.862,0.0649,0.27,0.0,0.187,0.187,119.858,164010,11,0
80,0.592,0.873,-5.65,0.0275,0.0715,0.00982,0.142,0.516,122.011,277262,9,1
68,0.651,0.617,-6.077,0.0309,0.179,0.0,0.113,0.591,121.977,167912,8,1
60,0.707,0.585,-11.024,0.0701,0.145,0.00485,0.257,0.277,125.161,155520,5,1
66,0.673,0.687,-5.295,0.0623,0.269,0.0,0.181,0.524,96.964,211040,6,0
