order_id,city,restaurant,delivery_time_minutes,revenue
132,Ahmedabad,Green Bowl,37,599.65
133,Ahmedabad,Punjabi Tadka,25,729.77
134,Ahmedabad,Green Bowl,26,536.87
135,Mumbai,Green Bowl,24,477.85
136,Ahmedabad,Green Bowl,46,407.12
137,Ahmedabad,Spice Hub,30,504.24
138,Ahmedabad,Spice Hub,22,348.75
139,Mumbai,Spice Hub,52,374.04
140,Ahmedabad,Punjabi Tadka,26,472.3
141,Delhi,South Express,38,146.63
142,Ahmedabad,Green Bowl,42,260.32
143,Delhi,Green Bowl,22,479.99
144,Delhi,Punjabi Tadka,42,402.07
145,Delhi,Green Bowl,50,332.97
146,Mumbai,Spice Hub,40,611.38
147,Mumbai,South Express,22,585.6
148,Mumbai,Pizza Corner,42,216.71
149,Ahmedabad,Green Bowl,42,715.04
150,Delhi,Spice Hub,51,446.8
151,Mumbai,Pizza Corner,55,619.02
152,Mumbai,South Express,50,501.21
153,Ahmedabad,Pizza Corner,41,798.38
154,Mumbai,Spice Hub,31,626.68
155,Ahmedabad,Pizza Corner,23,594.89
156,Gandhinagar,Punjabi Tadka,47,645.0
157,Mumbai,Pizza Corner,34,200.19
158,Gandhinagar,Green Bowl,27,243.18
159,Ahmedabad,Green Bowl,42,599.84
160,Delhi,Punjabi Tadka,43,445.79
161,Mumbai,Spice Hub,27,628.24
162,Ahmedabad,Green Bowl,49,172.04
163,Delhi,South Express,20,475.54
164,Delhi,Green Bowl,32,365.18
165,Gandhinagar,Green Bowl,19,419.9
166,Ahmedabad,Spice Hub,39,522.77
167,Delhi,Pizza Corner,16,451.6
168,Mumbai,Green Bowl,24,477.9
169,Mumbai,Punjabi Tadka,44,440.45
170,Gandhinagar,Pizza Corner,59,386.27
171,Delhi,South Express,19,640.32
172,Ahmedabad,Spice Hub,47,108.54
173,Mumbai,South Express,15,518.91
174,Delhi,Pizza Corner,32,495.86
175,Delhi,Pizza Corner,46,601.33
176,Gandhinagar,Pizza Corner,25,519.32
177,Mumbai,South Express,35,678.76
178,Mumbai,Pizza Corner,40,771.35
179,Ahmedabad,South Express,39,339.77
180,Mumbai,Pizza Corner,36,259.15
181,Ahmedabad,Punjabi Tadka,41,396.52
182,Mumbai,Pizza Corner,27,301.55
183,Gandhinagar,South Express,47,530.47
184,Mumbai,Green Bowl,48,738.3
185,Ahmedabad,Pizza Corner,55,197.38
186,Ahmedabad,Green Bowl,49,170.56
187,Gandhinagar,Punjabi Tadka,15,279.21
188,Mumbai,Spice Hub,35,608.27
189,Mumbai,Punjabi Tadka,20,515.07
190,Gandhinagar,Pizza Corner,42,171.55
191,Mumbai,Green Bowl,31,743.13
192,Mumbai,Green Bowl,19,653.06
193,Ahmedabad,South Express,45,116.12
194,Mumbai,Green Bowl,19,555.96
195,Mumbai,South Express,52,639.87
196,Gandhinagar,Spice Hub,17,362.1
197,Gandhinagar,Pizza Corner,37,148.25
198,Delhi,South Express,51,154.12
199,Ahmedabad,Spice Hub,51,172.97
200,Mumbai,Green Bowl,24,688.31
201,Mumbai,Green Bowl,24,737.48
202,Delhi,Spice Hub,33,185.97
203,Mumbai,Green Bowl,31,265.13
204,Ahmedabad,Spice Hub,35,215.86
205,Delhi,South Express,28,230.42
206,Ahmedabad,South Express,23,686.24
207,Delhi,Spice Hub,15,332.5
208,Delhi,South Express,59,318.01
209,Gandhinagar,South Express,27,259.18
210,Ahmedabad,South Express,18,525.53
211,Mumbai,Punjabi Tadka,15,365.51
212,Mumbai,Pizza Corner,54,620.97
213,Ahmedabad,Green Bowl,46,243.91
214,Mumbai,Punjabi Tadka,48,651.45
215,Mumbai,South Express,42,522.61
216,Ahmedabad,Spice Hub,45,179.99
217,Delhi,South Express,22,390.15
218,Ahmedabad,Pizza Corner,53,704.46
219,Delhi,South Express,40,746.07
220,Mumbai,Spice Hub,48,425.99
221,Mumbai,Pizza Corner,17,436.59
222,Mumbai,South Express,26,742.92
223,Gandhinagar,Pizza Corner,15,510.95
224,Delhi,Green Bowl,58,122.99
225,Gandhinagar,Green Bowl,19,738.92
226,Gandhinagar,South Express,44,273.76
227,Ahmedabad,Pizza Corner,44,504.34
228,Gandhinagar,Spice Hub,31,215.86
229,Ahmedabad,South Express,37,123.72
230,Ahmedabad,Green Bowl,29,318.03
231,Gandhinagar,Green Bowl,51,646.35
232,Delhi,South Express,35,294.31
233,Delhi,Pizza Corner,28,254.07
234,Delhi,Green Bowl,16,248.88
235,Delhi,Pizza Corner,25,460.62
236,Delhi,Green Bowl,53,782.88
237,Gandhinagar,Green Bowl,52,421.29
238,Gandhinagar,Punjabi Tadka,48,490.11
239,Mumbai,Green Bowl,52,702.44
240,Delhi,Spice Hub,48,474.55
241,Gandhinagar,South Express,32,229.12
242,Mumbai,South Express,44,309.72
243,Delhi,Pizza Corner,29,316.96
244,Ahmedabad,Green Bowl,41,378.12
245,Mumbai,Spice Hub,48,398.75
246,Gandhinagar,Pizza Corner,52,659.85
247,Ahmedabad,Punjabi Tadka,47,344.57
248,Ahmedabad,Pizza Corner,38,427.76
249,Ahmedabad,Pizza Corner,29,537.48
250,Mumbai,Green Bowl,44,364.41
251,Gandhinagar,Punjabi Tadka,56,685.6
252,Ahmedabad,Pizza Corner,31,511.22
253,Delhi,Spice Hub,19,305.83
254,Ahmedabad,Spice Hub,43,599.84
255,Ahmedabad,South Express,18,469.35
256,Mumbai,Punjabi Tadka,24,474.12
257,Mumbai,Punjabi Tadka,31,436.76
258,Gandhinagar,South Express,24,447.91
259,Delhi,Pizza Corner,31,635.75
260,Mumbai,Punjabi Tadka,34,172.09
261,Ahmedabad,Spice Hub,38,334.05
262,Gandhinagar,Spice Hub,19,152.85
263,Ahmedabad,Green Bowl,48,627.27
264,Ahmedabad,Punjabi Tadka,20,290.61
265,Mumbai,Pizza Corner,16,728.2
266,Gandhinagar,South Express,27,468.6
267,Delhi,South Express,57,660.52
268,Delhi,Pizza Corner,57,785.25
269,Mumbai,Green Bowl,25,687.85
270,Mumbai,South Express,37,706.9
271,Gandhinagar,Punjabi Tadka,30,385.59
272,Delhi,Green Bowl,45,486.21
273,Delhi,Punjabi Tadka,25,277.72
274,Delhi,Spice Hub,30,237.28
275,Ahmedabad,Green Bowl,22,453.86
276,Delhi,South Express,18,516.53
277,Ahmedabad,Green Bowl,54,337.49
278,Gandhinagar,Green Bowl,18,498.61
279,Ahmedabad,Green Bowl,39,721.22
280,Gandhinagar,Green Bowl,17,489.71
281,Delhi,Punjabi Tadka,46,604.57
282,Delhi,Spice Hub,17,663.72
283,Gandhinagar,Pizza Corner,41,792.11
284,Mumbai,Green Bowl,43,522.24
285,Gandhinagar,South Express,46,664.8
286,Mumbai,Green Bowl,33,773.85
287,Ahmedabad,South Express,35,761.09
288,Ahmedabad,Punjabi Tadka,19,198.76
289,Ahmedabad,South Express,32,384.47
290,Delhi,Pizza Corner,42,326.79
291,Ahmedabad,Spice Hub,56,160.85
292,Mumbai,South Express,36,543.27
293,Ahmedabad,South Express,35,615.13
294,Gandhinagar,Spice Hub,20,693.69
295,Gandhinagar,Pizza Corner,15,185.94
296,Delhi,Green Bowl,19,713.51
297,Gandhinagar,South Express,55,550.05
298,Mumbai,Spice Hub,26,592.76
299,Ahmedabad,Punjabi Tadka,40,737.44
300,Delhi,Spice Hub,48,537.33
