CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
116,Male,41,87.4,75.3
117,Male,26,84.7,84.4
118,Male,20,75.7,78.4
119,Male,68,94.1,78.3
120,Female,48,91.0,88.8
121,Female,57,91.3,86.6
122,Male,54,77.7,86.5
123,Male,53,96.2,90.4
124,Male,41,73.8,80.2
125,Female,48,89.7,85.5
126,Female,23,102.5,77.5
127,Female,19,77.1,82.6
128,Female,37,80.5,79.0
129,Female,45,85.8,80.8
130,Female,28,81.0,84.8
131,Female,21,72.6,73.5
132,Female,32,85.5,96.7
133,Female,23,76.5,72.0
134,Male,66,88.8,70.3
135,Male,47,77.6,89.3
136,Male,55,97.4,86.3
137,Male,68,78.7,85.0
138,Female,19,82.4,85.0
139,Female,32,91.5,79.9
140,Male,28,75.2,72.8
141,Female,25,86.8,80.6
142,Male,43,95.5,74.6
143,Female,68,72.1,87.8
144,Male,62,86.5,78.8
145,Female,61,87.1,73.4
146,Female,22,91.3,77.4
147,Male,23,75.1,83.3
148,Female,43,74.4,75.5
149,Male,21,89.2,73.4
150,Male,36,87.4,81.9
151,Male,37,46.3,21.2
152,Male,50,46.7,17.5
153,Female,37,41.6,17.6
154,Female,66,46.2,21.2
155,Female,29,46.5,12.8
156,Male,64,41.4,13.0
157,Female,18,54.3,16.4
158,Male,43,47.4,18.9
159,Female,31,39.0,21.6
160,Female,55,48.3,27.4
161,Female,54,40.1,24.3
162,Male,28,48.9,19.2
163,Female,53,50.8,19.9
164,Female,30,40.9,15.0
165,Male,60,49.8,19.9
166,Female,20,47.1,18.6
167,Male,50,49.1,21.6
168,Female,23,54.5,15.9
169,Male,67,43.8,22.6
170,Male,27,41.2,27.7
171,Female,22,40.6,19.5
172,Male,40,40.9,22.0
173,Male,27,44.6,23.5
174,Male,61,46.7,18.0
175,Male,19,46.4,21.1
176,Male,30,49.1,20.1
177,Male,57,45.1,20.5
178,Female,19,52.3,16.1
179,Male,37,43.7,20.1
180,Male,18,58.6,22.5
181,Female,54,35.6,60.4
182,Female,26,77.8,65.7
183,Female,34,42.5,46.4
184,Female,26,21.9,60.2
185,Female,28,71.6,56.7
186,Female,32,34.2,82.1
187,Female,41,95.2,13.6
188,Male,55,96.3,32.5
189,Male,52,93.2,86.0
190,Female,47,49.6,81.2
191,Male,48,21.2,46.5
192,Male,66,94.3,59.6
193,Male,22,54.3,32.2
194,Female,61,97.3,25.0
195,Female,67,97.1,47.1
196,Male,31,88.2,38.3
197,Female,28,43.6,56.7
198,Male,26,50.8,16.2
199,Male,51,88.1,88.0
200,Male,29,45.4,88.9
